  185  CRAC 18533M001    4666844.46294  1376640.49862  4110570.28442    A
  186  CREA 12798M001    4425757.25344   755340.29768  4515199.42403    A
  187  CREM 19506M001    4437639.85622   782631.49252  4498930.40244    A
  771  CRMI 18465M001    4527232.55726   878324.04363  4392131.89829    A
  189  CRRR 18870M001    4519366.78133   803468.13360  4413682.74089    A
  190  CRSN 19548M001    4457609.19075   634869.47881  4502595.36692    A
  191  CRSP 18871M001    4631830.25629  1436666.35238  4129382.17397    A
  192  CSIN 12745M002    4645861.06311  1143749.00455  4203651.30821    A
  193  CSSB 18534M001    4550667.62947   987666.95362  4344991.47861    A
  194  CTAC 19002M001    4890061.05003  1317344.99155  3864537.41212    A
  772  CTEL 18410M001    4560437.47350  1068631.51672  4316913.51722    A
  200  CUOR 19550M001    4447428.91096   597182.47890  4518072.67757    A
  201  CURN 18766M001    4400649.71881   745262.71774  4541398.77332    A
  204  CVTV 18779M002    4639860.25106   969090.82587  4253508.51430    A
  205  DARF 18767M001    4378092.82665   785942.12173  4556197.88004    A
  206  DEMN 19545M001    4534673.45049   580312.01275  4433862.49677    A
  209  DOMS 19528M002    4382807.52663   638314.23350  4574692.79917    A
  211  EBOL 18536M001    4688443.50331  1255126.04942  4124343.99415    A
  214  EIIV 19002M002    4891068.48534  1318070.40377  3862815.59039    A
  217  ENAV 18709M001    4700261.14174  1201129.26508  4127657.28924    A
  773  ESLN 12703M002    4883063.51544  1306067.86153  3879657.96437    A
  221  FDOS 12775M001    4323151.58481   897154.00066  4590017.84835    A
  222  FELT 18757M001    4340633.41382   915037.97308  4567940.89125    A
  225  FIAN 19003M001    4621090.47642  1031891.58816  4259284.66328    A
  227  FIOR 19004M001    4589648.35106   940902.91872  4314467.56433    A
  231  FIUM 18569M001    4655876.49607  1009193.51850  4226747.99062    A
  232  FLDT 18527M001    4295643.77718   881742.42459  4617185.75675    A
  233  FOGG 18852M001    4612763.98720  1282018.56912  4200293.15309    A
  236  FON0 19005M002    4663468.65046  1113755.76874  4192232.54667    A
  237  FOND 19005M001    4665650.53106  1112793.23657  4190046.68833    A
  243  FR0S 12786M002    4645063.07978  1102031.76763  4215805.35791    A
  774  FRUL 12723M003    4681596.28591  1186825.09810  4152361.52867    A
  247  FUSE 12795M001    4292559.00949   991105.40069  4597527.67985    A
  250  GAIR 19006M001    4836710.16307   809833.45007  4065581.67852    A
  8  GARI 19517M001    4439514.06983   963866.84250  4461921.30395    W
  251  GATE 18537M001    4622315.49686  1230759.96563  4205576.72246    A
  254  GBLM 18538M001    4883821.20048  1220040.24332  3905237.43418    A
  9  GENO 12712M002    4507892.58369   707621.22682  4441603.27632    W
  258  GENU 12712M003    4508683.62896   710825.22759  4440257.10630    A
  261  GINE 19008M001    4536579.20098  1078793.45739  4337557.71850    A
  262  GINO 18853M001    4645419.28164  1398799.22369  4127148.27125    A
  264  GIU0 18854M001    4633414.45010  1544029.14444  4088639.00998    A
  265  GNAL 18539M001    4573786.32709  1099744.40227  4294273.98705    A
  268  GOZZ 19551M001    4410603.37152   653928.45062  4545947.07010    A
  269  GR0T 18706M001    4650262.65247  1251243.33610  4168853.22740    A
  10  GRAS 10002M006    4581691.15513   556114.57541  4389360.55724    W
  11  GRAZ 11001M002    4194424.10889  1162702.46193  4647245.19544    W
  274  GRDO 19803M001    4342411.99777  1033256.33262  4540720.57936    A
  275  GRO1 18706M002    4649704.40466  1254666.91136  4168304.35092    A
  281  GRZM 18540M001    4489083.88343   884635.41892  4429632.25407    A
  282  GUAR 18541M001    4634806.18963  1096664.12345  4229087.01402    A
  285  GUMA 18543M001    4541812.71918  1076586.39644  4333049.93479    A
  776  HAGA 18472M001    4904264.65827  1328326.27969  3842781.69422    A
  777  HCRL 18474M001    4907329.98014  1317888.47655  3842574.51532    A
  286  HELM 19536M002    4280405.16961   939925.40893  4621975.82729    A
  287  HIMA 12501M001    4598811.95535  1651882.91454  4085651.67630    A
  778  HLNI 18475M001    4906664.76988  1302989.63784  3848296.36368    A
  289  HMDC 18708M001    4934275.14461  1302135.61321  3814112.32800    A
  781  HSCI 19043M002    4946334.03608  1298247.94414  3799196.26354    A
  782  HSRS 00000M000    4915163.91650  1337500.21654  3825721.02249    A
  12  IENG 12724S001    4476537.68786   600431.18367  4488761.10750    W
  783  IFIL 18479M001    4833123.95182  1256708.39606  3954769.59798    A
  291  IGM2 12701M005    4523237.49100   896768.29024  4391808.52770    A
  13  IGMI 12701M003    4523251.52447   896759.76499  4391796.12941    W
  295  ING0 18707M001    4646739.49274  1031416.33966  4231463.77954    A
  296  INGP 12757M003    4592141.13991  1086855.69794  4277575.08955    A
  784  ISAL 00000M000    4826713.51532  1281737.09985  3954242.37574    A
  298  ISCH 18855M001    4572564.63266  1302230.13193  4237948.77665    A
  306  JOAN 12794M001    4303674.59080  1026554.47860  4580286.90409    A
  307  JOPP 18544M001    4800499.70000  1366158.68737  3958649.40892    A
  14  LAMP 12706M002    5073165.00076  1134512.23419  3683180.92449    W
  316  LANO 18884M001    4584280.59358  1175379.93611  4262249.48402    A
  785  LARN 18466M001    4648385.12231  1058906.58842  4223389.99698    A
  320  LAS0 12739M001    4522361.02719   784370.76647  4414006.06164    A
  321  LAT1 12789M002    4665378.43093  1068638.03532  4201803.49332    A
  324  LECO 18768M001    4390862.08212   726631.32558  4553758.73288    A
  326  LEG2 19068M003    4416886.79725   879162.55474  4501463.35296    A
  786  LICO 18480M001    4685149.48917  1172447.53746  4152090.87673    A
  332  LINA 19011M001    4826429.97380  1278364.83046  3955821.01950    A
  15  LINZ 11033S001    4118898.94256  1048597.12701  4740105.68467    W
  334  LNSS 18546M001    4581501.99411  1061112.76841  4295909.60264    A
  336  LOAN 19523M001    4538853.90697   658131.48206  4417655.24350    A
  787  LOSV 18481M001    4832762.55971  1290248.91861  3944480.47799    A
  338  LPEL 18547M001    4599506.95828  1162420.07909  4250017.08436    A
  339  LTNA 12789M003    4665557.43560  1068967.11469  4201504.98914    A
  343  M0NC 18789M001    4468987.85400   622287.45711  4493483.34451    A
  16  M0SE 12772M001    4642432.75113  1028629.15039  4236854.00606    W
  344  MA0A 18746M001    4380684.38576   822123.86748  4548808.48556    A
  345  MABZ 19538M001    4309779.57309   802741.89855  4618682.19778    A
  347  MACA 18883M001    4366362.23037   901772.95241  4545884.61405    A
  349  MAD0 18701M001    4539638.12169   830400.43782  4387905.91524    A
  350  MAGL 19014M001    4531213.41057  1095198.17706  4338935.28425    A
  358  MANF 19015M001    4591531.77627  1309238.80680  4214929.70836    A
  360  MANT 19505M001    4425406.88119   843343.30865  4499967.65767    A
  361  MAON 18725M001    4626515.48451   910260.01153  4280983.19626    A
  362  MAR0 18856M001    4604200.68149  1333193.97007  4193669.31078    A
  788  MARN 00000M000    4648383.32380  1044649.65063  4226956.15482    A
  364  MAT0 18885M001    4642693.20902  1382849.34766  4135689.57693    A
  365  MAT1 12734M009    4641951.70744  1393053.39994  4133280.67765    A
  17  MATE 12734M008    4641949.81421  1393045.16558  4133287.27922    W
  366  MATG 12734M010    4641953.10132  1393062.48143  4133277.90495    A
  367  MAVE 19060M001    4342577.92301   909354.39125  4568783.21626    A
  812  MBEL 14626M001    4357627.60429   930144.29767  4548609.24089    A
  789  MBFT 00000M000    4908391.65129  1128992.25039  3901084.77288    A
  368  MCEL 18549M001    4686163.46403  1326179.44151  4106292.77595    A
  370  MCRV 18553M001    4668765.06971  1265688.39214  4144939.44712    A
  371  MDEA 12765M001    4322832.60497  1032685.35252  4559530.51639    A
  372  MEDI 12711M003    4461400.97308   919593.33407  4449504.54170    A
  374  MELA 18552M001    4603660.52654  1244498.57752  4221391.69605    A
  375  MENG 18889M001    4379172.66832   712472.50969  4567135.61686    A
  376  MFUS 18551M001    4656295.95562  1233200.86182  4167679.69968    A
  377  MGAB 18555M001    4574780.33622   981703.41262  4320793.69870    A
  378  MGRD 18556M001    4343951.10092   924533.14228  4564331.69071    A
  381  MIL2 12710M002    4421980.64651   718518.50915  4524920.05988    A
  384  MITT 19541M001    4299918.10343   858791.79778  4619535.37364    A
  385  MLAG 18554M001    4524882.83244  1026259.33426  4362985.49572    A
  388  MMNO 18557M001    4713486.46746  1349083.56697  4067565.87773    A
  389  MNFT 18888M001    4458227.32401   662553.84085  4497975.37217    A
  391  MNTV 18887M001    4422683.19097   843543.39838  4502591.14147    A
  392  MOC0 18716M001    4627440.77603  1253655.03700  4194153.38990    A
  393  MOCA 12753M002    4347718.96705   856411.98378  4573643.25607    A
  394  MOCT 18570M001    4624212.49092   949546.42393  4274776.09264    A
  395  MODE 18724M001    4463957.73447   863558.42029  4458161.96081    A
  398  MOIE 19016M001    4512756.18848  1052100.68628  4368337.96829    A
  399  MOLF 19017M001    4607213.52616  1372169.24006  4177928.61307    A
  400  MON0 18881M001    4446830.61456   601969.51158  4517928.87576    A
  402  MONV 12738M003    4523138.98285   621921.84959  4439636.12818    A
  404  MOPS 12791M001    4463919.59293   863590.63145  4458193.73764    A
  791  MPNC 18486M001    4843527.67112  1329842.38545  3918535.93570    A
  409  MPRA 12764M001    4306530.46637   993265.47144  4584380.28481    A
  792  MRCB 00000M000    4834272.07694  1359142.71657  3920014.17546    A
  410  MRGE 18714M001    4424083.83223   547997.03710  4548668.76104    A
  411  MRLC 18726M001    4663042.00017  1292188.97436  4142383.46018    A
  413  MRVN 18563M001    4625445.66424  1343458.56876  4167914.62405    A
  414  MSAG 18562M001    4586316.24107  1307284.65767  4222374.50464    A
  18  MSEL 12711M008    4461399.93581   919566.89143  4449510.14481    W
  415  MSR0 18715M001    4832083.54962  1340812.09554  3928723.41978    A
  417  MT01 18564M001    4357739.36172   942220.66051  4545871.69468    A
  418  MT06 18565M001    4352449.81211   935976.99209  4552365.12723    A
  793  MT10 18493M001    4352302.46949   917089.03688  4557251.22844    A
  794  MTMR 18419M001    4662668.46786  1249581.59672  4156171.96131    A
  421  MTRZ 18561M001    4481138.97408   905589.29414  4433473.61286    A
  423  MTTO 18421M001    4593584.85923  1059899.36097  4284242.05680    A
  795  MUCR 18487M001    4861757.94745  1291240.00981  3909840.80560    A
  425  MUR1 18719M001    4541888.58526  1008965.11422  4349443.29005    A
  427  MVAL 18422M001    4534927.87382   997618.27852  4358890.33038    A
  428  NAP0 18580M001    4680986.43269  1191078.97464  4151602.05461    A
  796  NEMI 18467M001    4651425.39709  1049748.66207  4222687.92210    A
  429  NERO 19018M001    4413072.25385   655969.68786  4543224.42091    A
  430  NET1 18882M001    4670789.56437  1048111.19302  4200971.83990    A
  431  NIC0 18581M001    4667417.15742  1192086.42832  4166422.29292    A
  432  NOCI 18423M001    4623362.70480  1419184.92404  4144980.59755    A
  19  NOT1 12717M004    4934546.46768  1321264.69465  3806455.92045    W
  434  NOVE 19514M001    4357459.56122   973082.42130  4539604.83111    A
  435  NOVR 12759M002    4431901.04429   671366.87215  4522510.49092    A
  437  NUOR 19019M001    4805444.33588   789511.59389  4105958.84745    A
  438  OATO 12724M003    4473389.21679   610018.08890  4491078.13042    A
  444  OLBI 19020M001    4757168.49037   801906.09805  4158292.74675    A
  446  ORIK 12518M001    4592281.76535  1618985.32923  4105775.98965    A
  450  ORZI 19023M001    4418370.20111   772787.98234  4519454.77198    A
  451  OSIM 19024M001    4507769.32535  1080744.99560  4366536.46225    A
  452  OSTA 19542M001    4506928.60296   568425.71885  4464028.38777    A
  20  PADO 12750S001    4388882.27819   924567.20931  4519588.50424    W
  458  PAGA 19026M001    4590739.47687  1099223.95180  4275908.55073    A
  462  PALZ 19038M002    4639060.87878  1326737.79647  4158046.33488    A
  466  PAOL 18468M001    4663939.85113  1212038.99861  4165506.85424    A
  467  PARM 18717M001    4462867.43672   812020.83304  4468895.81694    A
  469  PARR 19563M001    4373016.24631   859777.07013  4548614.69825    A
  470  PART 19027M001    4898768.89009  1140862.76779  3909130.49025    A
  471  PASS 19562M001    4328741.29464   912367.47451  4581146.75120    A
  472  PAUN 19028M001    4889534.40531  1160203.56828  3914738.62187    A
  474  PAVI 12781S001    4444603.50028   714785.84316  4503372.99792    A
  475  PAZO 12797M001    4338790.18334  1005880.80238  4550256.58226    A
  477  PEIO 19561M001    4333953.74504   816990.62114  4594382.84829    A
  482  PESA 19030M001    4486664.08098  1029101.59843  4400192.73806    A
  484  PESC 19031M001    4567968.40823  1155947.52761  4284307.49182    A
  492  PIET 18424M001    4529969.00104   996138.36777  4364500.70695    A
  797  PIGN 18425M001    4659848.36488  1177382.34461  4179422.31463    A
  798  PING 19028M004    4886485.78932  1156396.01856  3919655.23208    A
  494  PIOB 19032M001    4516327.73961   999790.34445  4377262.49911    A
  495  PIPA 18426M001    4718833.51990  1426117.77962  4034334.82052    A
  496  PIS1 18593M001    4537440.03461   827549.76147  4390694.10393    A
  500  PLAC 18427M001    4797568.54900  1415489.10903  3945005.33662    A
  501  PMNT 18753M001    4285884.85112  1024352.17595  4597875.71966    A
  502  PODE 19034M001    4654975.39675  1315186.40589  4144560.89164    A
  503  POFI 18429M001    4632671.28280  1130344.48878  4222794.84474    A
  504  POG0 18857M001    4634123.15058  1351054.81623  4155772.52240    A
  505  PONT 12626M001    4671273.39648  1754436.56773  3959388.70758    A
  508  POZZ 19560M001    4314122.59657   891973.56373  4598763.55973    A
  21  PRAT 12760M001    4518264.38470   886376.42747  4399019.12949    W
  800  PREC 00000M000    4563735.59940  1056965.80156  4315732.75819    A
  515  PRIZ 19035M001    4914033.40366  1174031.77428  3881405.90432    A
  516  PRTG 19512M001    4345596.79042   989935.72892  4547290.31922    A
  518  PSAL 19513M002    4380126.03114   957947.34630  4521107.65427    A
  519  PSB1 18431M001    4645089.17103  1228212.97577  4181500.65869    A
  520  PSST 19036M001    4626582.35189   909386.61657  4280864.35411    A
  525  PTRJ 18432M001    4641452.96551  1202857.92453  4193611.41285    A
  527  PTRP 18433M001    4665655.85149  1343213.25701  4123597.18165    A
  530  PZSG 19038M001    4639486.60577  1329198.35107  4156864.62242    A
  534  RAMP 18872M001    4296007.75109   975952.76781  4597595.50845    A
  537  RBAR 18873M001    4317307.77102   962154.45420  4580512.53191    A
  538  RBEV 18874M001    4348870.63609  1009567.49035  4539874.99671    A
  539  RCER 18895M001    4331990.29970  1027163.04252  4551982.41844    A
  802  RESU 18436M001    4905658.28711  1228286.94156  3874952.77211    A
  546  RGOR 18875M001    4317947.44609  1046521.08105  4560977.62634    A
  548  RIFL 18572M001    4619772.06747  1022580.48778  4263118.02056    A
  549  RITI 12788M002    4598830.85697  1049572.41308  4279276.83243    A
  550  RLSO 12629M001    4679939.59258  1840150.70704  3910407.21036    A
  553  RMOG 18878M001    4289568.39848  1005971.31709  4596811.50800    A
  803  RMPO 18437M001    4644800.41338  1047024.73284  4230288.33401    A
  554  RNI2 18438M001    4624965.41783  1166212.32373  4221748.70436    A
  558  RONC 19559M001    4363440.71810   822099.30893  4564653.33645    A
  559  ROPI 18439M001    4595594.64725  1089506.78545  4273605.12590    A
  804  ROPR 00000M000    4645170.27972  1052254.44724  4229165.67557    A
  561  ROSC 19040M001    4715210.06530  1408864.09892  4043962.28594    A
  562  ROUN 12772M003    4642420.58690  1028662.07084  4236858.88592    A
  24  ROVE 12774M001    4364680.85369   851736.59044  4557204.71299    W
  563  ROVI 12769M001    4415779.83565   921117.40686  4494189.81839    A
  565  RPOR 18877M001    4333820.76134   973585.35789  4561967.33858    A
  569  RSMN 12801M001    4492950.44398   992011.23645  4403302.74561    A
  570  RSPX 18470M001    4470680.93022   569940.16720  4499917.05100    A
  572  RTAR 18876M001    4275305.16589  1033723.25655  4604417.32160    A
  574  RTRS 18879M002    4336873.37027  1064122.05623  4539047.13802    A
  575  RUDI 12719M004    4316423.26256  1014588.69886  4569607.13923    A
  576  RUMI 18573M001    4426641.55587   559111.14054  4544302.51679    A
  579  SAC0 18441M001    4635168.57910  1216515.75947  4196198.93618    A
  580  SACS 18442M001    4583160.18209   966631.85974  4315789.85949    A
  582  SAL0 18586M001    4685026.34080  1304259.72010  4113692.11353    A
  806  SALV 00000M000    4719143.28156  1378327.78986  4050175.01747    A
  586  SAPR 18587M001    4706762.89110  1316819.61092  4084288.40107    A
  589  SARN 19558M001    4322413.48345   851285.11775  4598217.53612    A
  591  SASA 18858M001    4627991.46804  1500564.94832  4110719.58189    A
  592  SAUR 19042M001    4662971.43131  1155706.69459  4181629.88772    A
  594  SAVI 19546M001    4504896.39524   605936.86346  4459842.12532    A
  25  SBG2 11031M002    4180931.24183   973735.20256  4703203.30734    W
  595  SBPO 18721M001    4431899.42152   855035.01134  4491398.24906    A
  596  SCHI 19070M001    4373545.41430   878921.77237  4543605.38076    A
  599  SCIC 19043M001    4947236.06696  1297215.22994  3798369.83669    A
  602  SDNA 19510M001    4360878.22867   971910.03463  4536618.90547    A
  603  SEAN 19044M001    4523502.53545   881392.71062  4394627.35259    A
  604  SENE 18893M001    4686473.42652  1371524.69302  4089999.88461    A
  606  SENI 19045M001    4495745.81595  1055708.77900  4384705.22533    A
  608  SERR 19532M002    4484777.63794   698536.31379  4466342.62899    A
  609  SERS 18723M001    4752770.44351  1424861.22460  3996181.89873    A
  610  SETA 19046M001    4916441.49243  1229599.49065  3860727.27814    A
  613  SGIO 19047M001    4375708.98447   914291.51770  4534366.73390    A
  614  SGIP 18720M001    4459869.74563   881679.76576  4458661.84700    A
  616  SGRE 18446M001    4592022.90986  1102535.88295  4273827.25367    A
  618  SGRT 18447M001    4587105.73670  1293166.08126  4225941.79675    A
  620  SGTA 18448M001    4639265.19675  1274844.73133  4174248.26635    A
  621  SHKO 12506M001    4471325.10058  1583050.49903  4249819.67148    A
  623  SILA 19048M001    4311047.12094   821225.26358  4613812.21491    A
  629  SIRI 18449M001    4694521.65565  1334296.49981  4094312.08034    A
  630  SLC0 00000M000    4685494.75283  1311118.68180  4111835.45799    A
  631  SMA0 18891M001    4642938.89606   975712.41813  4248659.41125    A
  633  SNAL 18450M001    4657615.87668  1266245.03158  4156739.15684    A
  635  SON0 18890M001    4402771.78585   842102.58319  4522341.63543    A
  636  SONP 12784M002    4359460.84113   758647.61337  4578608.24674    A
  640  SPA0 12628M001    4658312.78603  1757780.24374  3973702.14261    A
  641  SPCI 18859M001    4598377.75599  1254478.12751  4224298.40013    A
  642  SPER 19557M001    4344046.05757   884551.43307  4571036.61263    A
  807  SSYX 18451M001    4914734.75635  1323921.35509  3831713.95257    A
  643  STBZ 19539M001    4280131.91092   865014.67872  4634805.00289    A
  644  STNL 18892M001    4622569.82487  1301465.62451  4183697.39435    A
  648  SUSE 19553M001    4349256.96292   941019.19753  4554351.78680    A
  649  SVDN 19050M001    4616204.93086  1473579.76353  4133615.89026    A
  650  SVI0 18794M001    4802269.73640  1307824.21157  3975355.13810    A
  651  SVTO 18453M001    4651389.81257  1372550.60311  4129490.14989    A
  652  TAMB 19554M001    4330879.79146   951900.10111  4570720.09735    A
  660  TELI 19051M001    4587110.13825  1229983.19267  4243305.85026    A
  661  TEM0 18899M001    4766973.52812   763529.01525  4155104.32440    A
  662  TEOL 19071M001    4397774.66335   908915.67233  4514347.62292    A
  669  TGPO 19511M001    4414892.11384   956817.59979  4487623.40750    A
  674  TIRN 12507M001    4510081.31593  1629352.30396  4191613.66230    A
  676  TITO 18454M001    4668652.97893  1314383.15237  4129435.44702    A
  677  TNTN 12753M003    4348067.14065   854501.59385  4572459.21979    A
  678  TNUS 18574M001    4421318.08136   577574.14977  4546995.39604    A
  683  TORC 12724M004    4476336.16594   600561.58094  4488921.46587    A
  26  TORI 12724M002    4472544.62117   601634.09250  4492544.97821    W
  684  TRAP 19062M001    4911563.33231  1092566.35762  3906585.85472    A
  686  TRI0 00000M000    4611940.31182  1197038.88437  4226699.94537    A
  688  TRIE 12718M003    4333581.99192  1061504.33455  4543010.42655    A
  690  TRVS 19074M001    4362734.06875   944985.88207  4540510.62636    A
  28  UCAG 12702M003    4885053.12714   783344.91640  4012044.10817    W
  691  UDI1 12719M002    4317298.49069  1016828.66078  4568247.65894    A
  692  UGEN 18860M001    4653957.87725  1526724.34496  4071930.70566    A
  693  UMBE 18457M001    4541332.08114   992546.66870  4352929.00797    A
  29  UNPG 12752M001    4555146.00498   997822.15917  4337432.52010    W
  696  UNTR 12785M001    4590764.73132  1032366.56382  4291666.24710    A
  30  USAL 19527M001    4627542.18202  1513540.71092  4106448.07970    W
  808  USSI 18469M001    4552778.72473  1062271.51590  4325932.12952    A
  702  VAGA 18718M001    4643698.70890  1177998.45706  4197652.72592    A
  704  VAL0 18861M001    4611304.80994  1401418.86683  4163930.95702    A
  809  VALC 00000M000    4544735.44119   989655.67543  4350575.15919    A
  706  VARM 19556M001    4297632.66077   957905.37504  4601933.19371    A
  707  VARZ 19507M001    4473521.96988   724344.55493  4473775.47811    A
  710  VELO 19518M001    4368075.76783   878120.08432  4549192.28097    A
  711  VEN0 00000M000    4703533.94694  1122415.75390  4145264.12791    A
  31  VEN1 19513M001    4379846.82164   959292.00040  4521100.12214    W
  712  VENI 18849M001    4379718.11568   961521.17057  4520752.19699    A
  716  VERB 19054M001    4393647.49607   661885.73133  4560900.52843    A
  719  VERR 18575M001    4425214.24045   597540.29832  4539606.17902    A
  721  VIBO 19055M001    4791240.58016  1381380.57615  3964538.57212    A
  722  VICE 19072M001    4382436.33447   896100.68213  4531525.32435    A
  723  VICT 18894M001    4632966.91157  1203526.06070  4201914.81685    A
  724  VIGE 12799M001    4439269.32549   692150.98444  4512138.07273    A
  730  VIRB 18576M001    4611070.32128   989058.45889  4280417.70580    A
  810  VITU 18459M001    4652012.49369  1214364.22146  4178362.98119    A
  735  VIVA 18577M001    4626510.58130  1058899.85865  4247126.73699    A
  736  VIZU 19056M001    4863688.80990   820982.34980  4030221.01897    A
  739  VLMN 18578M001    4643339.54380  1064986.49266  4227276.76437    A
  743  VLSM 12625M001    4699992.12051  1765547.27676  3921161.79352    A
  748  VR02 19073M001    4400855.67045   854973.22821  4521720.40518    A
  753  VULT 18461M001    4646589.27485  1298784.60754  4159354.50416    A
  756  VVLO 18462M001    4623605.64510  1120551.99700  4235530.95458    A
  32  WTZR 14201M010    4075580.84152   931853.56803  4801567.91813    W
  759  ZAGA 19058M001    4640097.71378  1049757.98433  4234363.52636    A
